,clean_data,sentiment
1831,aww haha i want one but can't get one coz u dun have my number,pos
361,Taylor Swift and Joe Jonas looked really good together I'm kinda sad they broke up,neg
1191,whats with u hating on becky soo much ur bio says ur nice ... guess not,neg
2245,Euh got LDAP Schema Error Why oh Why,neg
2535,Tummy bugs are lame Got about an hours sleep if that,neg
2564,Also I'm really missing Sami ... just thought I would throw that one out there ...,neg
483,If I told you how often I wash my hair you would never speak to me again,neu
306,that story reminds of living in Portugal,neu
1363,Got back and putting in the laundry We got in there last o well as long as its clean #DSAA09,pos
118,I'm feel deflated Ugh No more dog,neg
2701,todays weigh in ... only lost 1/2 pound this week o depressing,neg
2980,Uuu am din nou PR 4 Yeey my epenis is now bigger ... ... ...,neu
1610,I know pero available na yata eh Sa Singapore though,neu
1793,thx girl I just now woke up I cnt believe I'm sick Now I have a fever ... Wish I could pound nyquil This sucks,neg
217,A hungry fool Ill probably never see that Krispy Kreme again Had to enjoy it They closing down,neg
501,Having Fever dont feel to work,neu
295,ugh .. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl .. and be more like her,neu
616,In 1 horse town 2 blown out car speakers,neu
1570,nope i cant figure out how to get the updates on my blackberry . . . i need to go running too,neu
969,rob got lucky that game he beat me 209-205,neg
1474,Changed my hairstyle but it isn't good as it supposed to be N I don't think it wealthed that much money .. 0 that hairdresser ;(,neg
1988,My life what a beautiful morning i can think if no better way to ruin it than by being at work,pos
1357,oooooh this guy is so amazing he's so cute and he sent me a photo and no ... i can't show,pos
831,dude i didn't know it was a personal experience sorry something like that went down,pos
2493,very tired and anxious,neg
2323,MADAYA KA CHRISTIAN BLEH I 0 U http://plurk.com/p/wy2yg,neu
1183,Change my hairstyle but it isn't good as it supposed to be N don't wealth that much money .. 0 that hairdresser,neg
2547,Have you ever realized you never fully have everything you want feelin down,pos
2553,How sad is it that your best friend is so selfish and heartless that they exclude you from their life completely ... I'm so sad,neg
944,awww ok lol hopefully by than im still here and not back over in the states,pos
1376,I was just watching some cartoons as I haven't in years when I was eating my breakfast the programs have changed,neu
2193,bah i h8 waking up,neg
2640,when you wake up tweet me and let me know when ur on msn I really need to talk to you miss you,neg
1448,Augh fever's gone up again If I end up missing the WeHo clubbing tomorrow night I am going to be pissed Stupid boytoy gave me plague,neg
1779,Today marking 135,neu
2568,I am soo excited about your pasadena seminar ... if only i can find the confermation email,pos
886,Ever seen the tv show Dead Like Me I died and became a grim reaper Taking people's souls after accidents,neg
2204,I think it goes against everything i thought the olympic spirit of Team GB is was,pos
2181,Want to get my hands dirty with FubuMVC http://bit.ly/J00ha but the document is not yet complete,neg
22,No Topic Maps talks at the Balisage Markup Conference 2009 Program online at http://tr.im/mL6Z via #topicmaps,neg
1328,aww dont cry ashley,pos
2147,that sux but mayb 4 the btr u nvr know,neg
601,Dang it I REALLY look like crap Sigh only had 35mins to shower and 10mins to get ready,pos
641,Thinking about getting up for work,neu
1571,i really want a blackberry my sidekick is hella wack night,pos
195,Ate Mandy please forgive me I really am sorry I don't wanna lose my Bff,pos
2372,aww only 15minutes left of family guy,neu
30,It is so annoying when she starts typing on her computer in the middle of the night,neg
567,#beer #friday #melbourne #cbd #mtub #mini #cmon Thirsty and lonely ... you buggers are making me feel like a scotty no mates,neg
2393,arrives in mfk ... With these potholes .. I foresee a wheel changing session Hai no man,neg
720,Damn hi Facebook what's wrong with you can't add photos,neg
1151,Unstable broadband and electricity taking toll on my mental stability,neg
793,You're cycling tho that's good Healthy eating Healthy and eating are a contradiction in terms,pos
2670,Is anyone's #visialvoicemail working Have done the sync Turned off amp,neu
995,Yayyyyyyyyyyy but thats sp far away,neu
529,so i feel like shit for saying HAPPY BELATED BIRFDAYY .. i'm only a month late,pos
2614,Now you only have 2 hours to sleep ... Rest if you need it,neu
961,bye Scotty i'm gonna miss you ily <3 33,pos
2279,yack yack resorting to these 2 amp,neu
1878,I should be sleep I have to wake up soooo early,neu
2306,WHY DIDNT I SEE YOU,neu
92,Last one month due to summer strawberry is not availble in the Chennai markets,neu
868,No churchill downs for me tomorrow,neg
1697,at home im so lonely here ...,neg
2254,boo you didnt answer my text,neu
1523,did u watch the day the earth stood still did u not see my bye when u got d c ... im sad i left 2 and now ur gone ily lt,pos
652,Swimming is a no go for me,neg
1180,Jay Leno has one more show left as the host of The Tonight Show,neu
253,no im not cries LOL,neg
482,And these poor unfortunate souls don't appear to have any pants at all ... http://blip.fm/~78qvz,neg
1997,Sleep Work tomorrow,neu
263,Lies ... lies ... lies ... you just cant avoid to lie about practically ... EVERYTHING,neg
2611,got paid nowhere near as much as she thought she would,neu
2133,is feeling so bored ... i miss school time,neg
2299,Back to LA from Las Vagas Nice Trip Nice Food ... but lose 100 with Slot Machine ...,neg
1368,just tried talking ... voice died before end of sentence Annpyimg thing id i feel fine Another day of not playing the hits,neg
1785,Dang you internet . . . Its been down all night . . .,neu
1939,Awww it's still not the same I'm going to have a look though,neu
783,I was too sleepy earlier and i didnt get to see matt,neu
1148,Nina was on my lap but just decided to jump off,neu
104,Oh no one minute too late Oh well,neu
2699,yesh and that potato guy is online ... but hes not live,neu
838,I wish I could have time for my xbox project all tied,pos
1225,you left me first .. and left your bed here for me to look at,neu
2778,.. the weather may makes it cause temp fell down to 15C from 30C which were yesterday ...,neu
